ESTACION,PREC,TMAX,TMIN,LAT,LON
ATEPEC,21.0,20.0,12.0,17.43,-96.53
ZOQUITLAN,22.0,23.0,12.0,18.336944,-97.020278
TLACOTEPEC DE DIAZ,73.5,31.0,22.0,18.405,-96.849722
SANTIAGO NACALTEPEC,2.5,,,17.516667,-96.933333
CHICOMAPA,52.7,,,18.563333,-96.853611
TEPEYAC,56.5,,,18.483611,-96.861389
COSOLAPA,63.7,,,18.492778,-96.659444
PRESA M. ALEMAN,11.7,31.0,22.0,18.237681819,-96.4088048596
USILA-CFE,54.2,,,17.925556,-96.381389
SAN FELIPE USILA,44.0,32.0,20.0,17.883333,-96.533333
SANTO DOMINGO,40.8,,,18.049722,-96.535278
DIQUE PESCADITOS,20.0,,,18.152222,-96.388611
PRESA M. DE LA MADRID,38.5,30.0,20.0,18.016667,-96.266667
VALLE NACIONAL,160.0,,,17.776389,-96.3
JACATEPEC,28.0,33.0,21.0,17.8666584562,-96.2000080557
TUXTEPEC,15.5,,,18.083333,-96.133333
ZACATEPEC,19.0,26.5,18.0,17.15,-95.93
AYUTLA,12.5,16.0,6.0,17.016667,-96.1
AZUETA,16.9,33.0,23.0,18.075,-95.7
GARRO,41.0,27.0,23.0,18.270556,-95.556944
MARIA LOMBARDO,49.1,29.0,20.5,17.4492342586,-95.4279733759
SAN JUAN EVANGELISTA,16.7,,,17.883333,-95.133333
LAUCHAPAN,25.3,30.0,20.0,18.242802017,-95.352711394
CUATOTOLAPAN,36.8,29.5,21.5,18.1444335569,-95.2963808088
LA CEIBILLA,64.7,,,18.2297189965,-95.4452699415
CHACALTIANGUIS,27.8,,,18.3,-95.8
RADAR ALVARADO,109.0,27.0,23.0,18.7775,-95.763611
ANGEL R. CABADA,0.099,25.5,21.5,18.583333,-95.4375
SAN ANDRÉS TUXTLA AC,82.2,,,18.450833,-95.212778
SONTECOMAPAN,107.6,30.0,20.0,18.516667,-95.333333
CATEMACO,87.4,,,18.4166568085,-95.1166692776
JESUS CARRANZA,52.0,30.0,22.0,17.433333,-95.033333
LAS PERLAS,37.0,29.0,20.0,17.4166548409,-94.9138864331
TIERRA MORADA,72.0,28.5,21.5,17.571944,-94.163333
MINZAPAN,35.0,28.5,23.0,18.134444,-94.9375
JALTIPAN,81.0,30.0,23.0,17.95,-94.666667
CUICHAPA,61.0,,,17.939167,-94.279444
LA CANGREJERA,37.0,,,18.124991168,-94.3555547396
PB1 - LA CANGREJERA,17.0,,,17.872778,-94.193611
PB2 - LA CANGREJERA,71.2,,,17.954444,-94.253889
PB3-LA CANGREJERA,53.0,,,18.103611,-94.3775
COATZACOALCOS,36.4,30.2,23.4,18.1,-94.4
SAN JOSE DEL CARMEN,22.7,30.0,20.5,17.873611,-94.088889
